Title,Video URL,Video Duration,Views Number,Date the video uploaded
"NIOH 3 Walkthrough Gameplay Part 1 - INTRO (FULL GAME)仁王3攻略游戏玩法第一部分 - 开场（完整版）","https://www.youtube.com/watch?v=UcbvtJQui-M&pp=ygUGbmlvaCAz","2.35:17","15万次观看","2天前"
"Nioh 3 - Let's Play Part 1: The Fall of Edo Castle仁王3 - 让我们一起玩 第一部分：江户城的陨落","https://www.youtube.com/watch?v=PDlDnChNDBg&pp=ygUGbmlvaCAz","44.54","8.2万次观看","3天前"
"Nioh 3 Demo Dropped! (Jakotsu-Baba No Damage Boss Fight)仁王 3 试玩版发布！（蛇骨巴场无伤害 Boss 战）","https://www.youtube.com/watch?v=17838xuoR_4&pp=ygUGbmlvaCAz","2.06","7.8万次观看","2天前"
"Nioh 3 Gameplay Preview & Early Thoughts -  What You Should Know《仁王3》游戏预览及早期感想——你应该知道的事","https://www.youtube.com/watch?v=sRgPERnL_Ic&pp=ygUGbmlvaCAz","7.14","8万次观看","3天前"
"Nioh 3 - Features Trailer | PS5 Games仁王 3 - 特色预告片 |PS5 游戏","https://www.youtube.com/watch?v=bL_umw0ScIA&pp=ygUGbmlvaCAz","0.51","6.9万次观看","2天前"
"NEW TRAILERs - MH Wilds Patch - Nioh 3 Demo 🔴Full Stream🔴 (1-28)新预告片 - MH Wilds 补丁 - 《仁王 3》试玩🔴版完整流（🔴 1-28 页）","https://www.youtube.com/watch?v=rpydGQBRHXE&pp=ygUGbmlvaCAz","5.19:18","6.2万次观看","直播时间：2天前"
"The future third Tokugawa Shogun is killed half-naked after being hit by a street thug [Nioh 3 Li...未来的第三代德川将军被街头恶棍击中半裸身亡[仁王3里......","https://www.youtube.com/watch?v=dlabq9eWUuw&pp=ygUGbmlvaCAz","24.17","6.3万次观看","1天前"
"Welcome To Japan | Nioh 3 Gameplay #1欢迎来到日本 |仁王3游戏玩法#1","https://www.youtube.com/watch?v=DCpeDvkfZYw&pp=ygUGbmlvaCAz","1.19:29","6万次观看","2天前"
"Nioh 3 - First Impressions仁王3——初印象","https://www.youtube.com/watch?v=oEpVvLg9RsE&pp=ygUGbmlvaCAz","11.12","4.8万次观看","1天前"
"NIOH 3 Gameplay Walkthrough Part 1 FULL GAME (4K 60FPS) No Commentary仁王 3 游戏演示攻略 第一部分 完整游戏（4K 60FPS） 无解说","https://www.youtube.com/watch?v=rwsURxHbxDc&pp=ygUGbmlvaCAz","10.04:26","4.7万次观看","3天前"
"🔴Live - Nioh 3 - Walkthrough Prep Begins!🔴直播 - 仁王3 - 攻略准备开始！","https://www.youtube.com/watch?v=VHkkOhSyMwQ&pp=ygUGbmlvaCAz","2.56:03","4.4万次观看","直播时间：2天前"
"NIOH 3 est le premier rival de ELDEN RING仁王3是《艾尔登法环》的第一个竞争对手","https://www.youtube.com/watch?v=JhMhl-xAZaQ&pp=ygUGbmlvaCAz","50.02","3.8万次观看","3天前"
"The First 37 Minutes of Nioh 3 on PC 4K 60FPS《仁王 3》在 PC 上的前 37 分钟，4K 60FPS","https://www.youtube.com/watch?v=g7ue2tlloOg&pp=ygUGbmlvaCAz","37.58","3.4万次观看","2天前"
"NIOH 3 [Walkthrough Gameplay ITA HD - PARTE 1] - NINJA, SAMURAI e YOKAI仁王 3【攻略游戏 ITA HD - PARTE 1】 - 忍者、武士与洋解","https://www.youtube.com/watch?v=XX5gU8ENQ3E&pp=ygUGbmlvaCAz","38.35","3.1万次观看","1天前"
"¿El SOULS más BRUTAL? 💀 Nioh 3最残酷的灵魂？💀 仁王3","https://www.youtube.com/watch?v=6Bby_jFYCjs&pp=ygUGbmlvaCAz","44.25","2.9万次观看","2天前"
"NIOH 3 #01 – O Início da Jornada | Gameplay PS5 PT-BRNIOH 3 #01 – 旅程的开始 |游戏玩法 PS5 PT-BR","https://www.youtube.com/watch?v=yxyqVtQ5ivY&pp=ygUGbmlvaCAz","3.21:03","2.9万次观看","2天前"
"NIOH 3 - Início de Gameplay!!! | Em Português PT-BR《仁王 3》——游戏开始！！|葡萄牙语中 PT-BR","https://www.youtube.com/watch?v=nhZOMsXatCM&pp=ygUGbmlvaCAz","1.12:18","3.2万次观看","3天前"
"Nioh 3 - Let's Play Part 2: Escape from Hitokyo Slope仁王3 - 实况游玩 第二部分：逃离日京坡","https://www.youtube.com/watch?v=hsj0FHb-Pag&pp=ygUGbmlvaCAz","36.23","2.9万次观看","2天前"
"Nioh 3 - Official PS5 Features Trailer《仁王 3》- 官方 PS5 功能预告片","https://www.youtube.com/watch?v=1aw--abhnTU&pp=ygUGbmlvaCAz","0.51","3万次观看","2天前"
"NIOH 3 - Parte 1: A Queda do Shogun!!! [ PS5 Pro - Playthrough 4K ]NIOH 3 - 第一部分：将军的行动!![ PS5 Pro - 4K 通关 ]","https://www.youtube.com/watch?v=9VWcIKV_EFg&pp=ygUGbmlvaCAz","5.00:02","2.8万次观看","3天前"
"Nioh 3 is MoDeRn AuDiEnCe SLOP, censoring their character and embracing 'Body Types' over M/F《仁王 3》是 MoDeRn AuDiEnCe 的 SLOP，审查角色，并拥抱“体型”而非男女","https://www.youtube.com/watch?v=uurJVheiDzo&pp=ygUGbmlvaCAz","10.48","2.8万次观看","1天前"
"It's worse than I thought... (and somewhat better) Nioh 3 open world performance, stuttery camera比我想象的还糟......（而且稍微好一些）仁王3的开放世界表现，摄像机卡顿","https://www.youtube.com/watch?v=DX045Dc_3us&pp=ygUGbmlvaCAz","19.27","2.5万次观看","1天前"
"Nioh 3 PC Performance Tested仁王 3 PC 性能测试","https://www.youtube.com/watch?v=nhtDC8TVw5E&pp=ygUGbmlvaCAz","21.37","2.5万次观看","2天前"
"NIOH 3 VOLLERSION mit ELOTRIX🔴LIVE - ES GEHT LOS!仁王 3 与 ELOTRIX🔴现场大放厥词——开始吧！","https://www.youtube.com/watch?v=9HZf9SQkm8Q&pp=ygUGbmlvaCAz","5.25:49","2.5万次观看","直播时间：2天前"
"Nioh 3 Has Blown Me Away 30 Hours In (First Impressions)《仁王3》让我震撼，玩了30个小时（第一印象）","https://www.youtube.com/watch?v=Sjh2ayoRicY&pp=ygUGbmlvaCAz","46.48","2.4万次观看","2天前"
"Nioh 3 а там посмотрим《仁王3》，然后再看看情况","https://www.youtube.com/watch?v=DeZoomhdBRM&pp=ygUGbmlvaCAz","4.07:04","2.4万次观看","直播时间：1天前"
"Nioh 3 | January 29th仁王3 |1月29日","https://www.youtube.com/watch?v=WGKnqQioYbw&pp=ygUGbmlvaCAz","5.40:23","2.3万次观看","直播时间：2天前"
"Nioh 3 - Chapter 1 All Boss Fights + Ending (NO DAMAGE)仁王 3 - 第一章 所有 Boss 战 + 结局（无伤害）","https://www.youtube.com/watch?v=R0w7YFK5hn4&pp=ygUGbmlvaCAz","1.10:50","2.3万次观看","2天前"
"Early Impressions After Getting A Hands-On With The FULL Version Of NIOH 3!试玩《仁王3》完整版后的初步印象！","https://www.youtube.com/watch?v=GBuC-Asmfd8&pp=ygUGbmlvaCAz","19.32","2.1万次观看","3天前"
"🔴Live - Nioh 3 - Walkthrough Prep Part 2🔴直播 - 仁王3 - 攻略准备第二部分","https://www.youtube.com/watch?v=VKJRoXSTBmo&pp=ygUGbmlvaCAz","3.43:21","2.2万次观看","直播时间：1天前"
"Nioh 3 - What Happens If You Beat the Tutorial "Tokugawa Kunimatsu" Boss? (No Damage)仁王 3 - 如果你击败教程中的“德川国松”Boss 会发生什么？（无损伤）","https://www.youtube.com/watch?v=z3pXE78bFiY&pp=ygUGbmlvaCAz","9.21","1.9万次观看","2天前"
"NIOH 3 ПРОХОЖДЕНИЕ [4K] ➤ Часть 1 ➤ На Русском ➤ Ниох 3 на ПК《仁王 3》攻略 [4K] † 第一部分 † 俄语版 † PC 版《仁王 3》","https://www.youtube.com/watch?v=HmPyDYmKF2I&pp=ygUGbmlvaCAz","4.17:30","2万次观看","直播时间：2天前"
"[Nioh 3] The latest installment of the Sengoku x Hack & Slash x Action series is about to be rele...[仁王3]《战国×砍杀×动作》系列的最新作品即将发布......","https://www.youtube.com/watch?v=9C3pkft_xUQ&pp=ygUGbmlvaCAz","19.11","1.9万次观看","6天前"
"Nioh 3 - Español #1 - Impresiones DEMO - Primeros Pasos - Ps5 Pro Gameplay仁王 3 - 英文 #1 - 演示演示 - 入门 - PS5 Pro 游戏玩法","https://www.youtube.com/watch?v=SzujzOBJUt0&pp=ygUGbmlvaCAz","5.10:32","1.8万次观看","直播时间：2天前"
"Nioh 3 - Let's Play Part 3: Totomi Province仁王3 - 让我们一起玩 第三部分：富美国","https://www.youtube.com/watch?v=9t45VsZBZO8&pp=ygUGbmlvaCAz","26.34","1.7万次观看","2天前"
"Top 12 HUGE Tips To Help To CRUSH The Nioh 3 Demo帮助击败《仁王3》试玩版的12大关键建议","https://www.youtube.com/watch?v=8E7SoPZEhEM&pp=ygUGbmlvaCAz","12.37","1.6万次观看","2天前"
"Nioh 3 Jakotsu-baba Boss Guide | How to Beat the Demo Boss《仁王 3 蛇骨马场》Boss 攻略 |如何击败演示 Boss","https://www.youtube.com/watch?v=8xmaBMMizIE&pp=ygUGbmlvaCAz","3.44","1.6万次观看","1天前"
"Nioh 3 - How To Get Severing Spin Weapon Skill (Crucible Martial Art)仁王3 - 如何获得切割旋转武器技能（熔炉武术）","https://www.youtube.com/watch?v=ZAZ-pQkiFyE&pp=ygUGbmlvaCAz","2.56","1.5万次观看","2天前"
"NIOH 3 - Gameplay do Início no PS5 PRO!《仁王 3》——玩法，玩法，PS5 PRO！","https://www.youtube.com/watch?v=XmHkKq4MBD4&pp=ygUGbmlvaCAz","26.07","1.4万次观看","3天前"
